file,subfolder
10x_VMH_Male_M-M_CI_pencil_cup_1.zip,2018_0703
10x_VMH_Male_Control_2.zip,2018_0429
10x_VMH_Male_M-M_CI_dangled_2.zip,2019_0414
10x_VMH_Male_Aggression_2.zip,2018_0630
10x_VMH_Female_Control_1.zip,2018_0428
10x_VMH_Male_Plain_1.zip,2018_0410
10x_VMH_Male_Social_Fear_Group_housed_1.zip,2019_0325
10x_VMH_Male_M-M_CI_dangled_1.zip,2019_0331
10x_VMH_Female_Plain_1.zip,2018_0707
10x_VMH_Male_Plain_2.zip,2018_0527
10x_VMH_Male_Others_1.zip,2018_0728
10x_VMH_Female_Mating_not_receptive_2.zip,2018_0812_2
10x_VMH_Female_Mating_not_receptive_3.zip,2018_0812_3
10x_VMH_Male_M-F_CI_pencil_cup_1.zip,2018_0701
10x_VMH_Male_Aggression_1.zip,2018_0422
10x_VMH_Male_Social_Fear_Singly-housed_1.zip,2018_0812_1
10x_VMH_Male_Control_3.zip,2018_0520
10x_VMH_Male_Others_4.zip,2019_0413
10x_VMH_Male_Mating_1.zip,2018_0715
10x_VMH_Male_M-F_CI_dangled_1.zip,2018_0519
10x_VMH_Male_Others_3.zip,2019_0324
10x_VMH_Male_Aggression_3.zip,2018_0803
10x_VMH_Male_Control_1.zip,2018_0420
10x_VMH_Male_Social_Fear_Singly-housed_2.zip,2019_0330
10x_VMH_Female_Mating_not_receptive_1.zip,2018_0802
10x_VMH_Male_Others_2.zip,2019_0323
